Correct,Incorrect,Uncertain,Uncertain but correct
0.0,0.17,0.83,0.08
0.0,0.0,1.0,0.95
0.0,0.97,0.03,1.0
0.0,0.21,0.79,0.09
0.0,0.0,1.0,0.96
0.0,0.94,0.06,1.0
0.0,0.21,0.79,0.08
0.0,0.0,1.0,0.94
0.0,0.9,0.1,1.0
0.0,0.22,0.78,0.06
0.0,0.0,1.0,0.97
0.0,0.93,0.07,1.0
0.0,0.02,0.98,0.34
0.0,0.0,1.0,0.98
0.0,0.81,0.19,0.95
0.0,0.06,0.94,0.32
0.0,0.0,1.0,0.99
0.0,0.78,0.22,0.95
0.0,0.07,0.94,0.29
0.0,0.0,1.0,0.99
0.0,0.78,0.22,1.0
0.0,0.07,0.94,0.29
0.0,0.0,1.0,0.99
0.0,0.72,0.28,1.0
0.0,0.07,0.94,0.41
0.0,0.0,1.0,0.96
0.0,0.67,0.33,0.94
0.0,0.12,0.88,0.4
0.0,0.01,0.99,0.93
0.0,0.48,0.52,0.9
0.0,0.12,0.89,0.37
0.0,0.0,1.0,0.91
0.0,0.38,0.62,0.89
0.0,0.17,0.82,0.45
0.0,0.0,1.0,0.91
0.0,0.38,0.62,0.87
0.0,0.07,0.94,0.28
0.0,0.0,1.0,0.93
0.0,0.86,0.14,1.0
0.0,0.04,0.96,0.21
0.0,0.0,1.0,0.98
0.0,0.87,0.13,1.0
0.0,0.08,0.92,0.19
0.0,0.0,1.0,0.98
0.0,0.86,0.14,1.0
0.0,0.07,0.93,0.18
0.0,0.0,1.0,0.98
0.0,0.87,0.13,0.92
0.0,0.04,0.96,0.4
0.0,0.0,1.0,0.99
0.0,0.71,0.29,0.83
0.0,0.1,0.91,0.39
0.0,0.0,1.0,0.99
0.0,0.58,0.42,0.95
0.0,0.13,0.87,0.37
0.0,0.0,1.0,0.96
0.0,0.61,0.39,0.95
0.0,0.09,0.91,0.37
0.0,0.0,1.0,0.93
0.0,0.55,0.45,0.98
0.0,0.09,0.92,0.39
0.0,0.0,1.0,0.94
0.0,0.58,0.42,0.86
0.0,0.14,0.85,0.4
0.0,0.01,0.99,0.83
0.0,0.32,0.68,0.87
0.0,0.19,0.81,0.38
0.0,0.0,1.0,0.71
0.0,0.28,0.72,0.92
0.07,0.14,0.79,0.3
0.37,0.0,0.63,0.5
0.0,0.32,0.68,0.94
0.01,0.01,0.97,0.33
0.77,0.0,0.23,0.94
0.0,0.77,0.23,0.96
0.02,0.01,0.96,0.28
0.9,0.0,0.1,0.9
0.0,0.73,0.27,0.89
0.04,0.03,0.93,0.24
0.89,0.0,0.11,1.0
0.0,0.7,0.3,0.97
0.06,0.03,0.92,0.2
0.88,0.0,0.12,0.92
0.0,0.63,0.37,0.92
0.04,0.07,0.89,0.36
0.77,0.0,0.23,0.96
0.0,0.63,0.37,0.89
0.04,0.09,0.88,0.36
0.69,0.0,0.32,0.87
0.0,0.47,0.53,0.87
0.05,0.12,0.83,0.32
0.69,0.0,0.32,0.76
0.01,0.34,0.65,0.92
0.07,0.09,0.85,0.36
0.51,0.0,0.49,0.72
0.0,0.4,0.6,0.88
0.06,0.06,0.88,0.35
0.7,0.0,0.29,0.59
0.0,0.53,0.47,0.87
0.08,0.16,0.76,0.3
0.67,0.0,0.33,0.65
0.0,0.38,0.62,0.84
0.07,0.14,0.79,0.32
0.4,0.0,0.6,0.46
0.01,0.19,0.8,0.97
0.06,0.14,0.8,0.35
0.4,0.0,0.6,0.38
0.02,0.17,0.81,0.89
0.03,0.02,0.95,0.31
0.89,0.0,0.11,0.95
0.0,0.75,0.25,0.84
0.04,0.04,0.92,0.3
0.92,0.0,0.09,1.0
