Correct,Incorrect,Uncertain,Uncertain but correct
0.04,0.36,0.59,0.2
1.0,0.0,0,0
0.0,0.87,0.13,1.0
0.46,0.03,0.52,0.41
0.99,0.0,0.01,1.0
0.04,0.75,0.21,1.0
0.9,0.0,0.1,0.75
0.98,0.0,0.02,0.5
0.14,0.42,0.44,0.98
0.97,0.0,0.03,0.8
0.98,0.01,0.01,0.67
0.66,0.01,0.33,0.94
0.99,0.0,0.01,0.5
0.96,0.01,0.03,0.67
0.96,0.0,0.04,0.5
0.98,0.0,0.02,1.0
0.94,0.01,0.06,0.82
0.98,0.0,0.02,0.5
0.98,0.0,0.02,0.75
0.93,0.01,0.07,0.69
0.98,0.0,0.02,0.5
0.98,0.0,0.02,1.0
0.92,0.01,0.07,0.67
0.98,0.0,0.02,0.5
0.98,0.0,0.02,1.0
0.92,0.01,0.07,0.71
0.98,0.0,0.02,0.5
0.98,0.0,0.02,1.0
0.92,0.01,0.07,0.73
0.98,0.0,0.02,0.5
