/NM5/D_X,/NM5/D_Y
0,-2.384879050134714e-28
3.90625e-15,1.506654349934766e-05
4.39453125e-15,1.715531355989437e-05
4.987965607704582e-15,1.986726824376551e-05
5.573429807742952e-15,2.274811076368573e-05
6.06552006859531e-15,2.53089228719287e-05
6.640919466086846e-15,2.842564787282938e-05
7.266733361864821e-15,3.191049536339611e-05
7.909336864494037e-15,3.552892196773063e-05
8.574865164542739e-15,3.925009200537192e-05
9.268398117780249e-15,4.302540695586454e-05
9.995581615962492e-15,4.679376165577216e-05
1.076467969727058e-14,5.048640840111492e-05
1.158555752689637e-14,5.401253336579543e-05
1.247255029744735e-14,5.725879547729363e-05
1.344978271407967e-14,6.008114536070208e-05
1.456566385927194e-14,6.227821590633654e-05
1.590516518560185e-14,6.346611410234746e-05
1.744332481064635e-14,6.301240880202325e-05
1.89007701976884e-14,6.103663197195811e-05
2.007588837408413e-14,5.856012745862489e-05
2.113365779787178e-14,5.583866646834959e-05
2.212915740531451e-14,5.300783535032387e-05
2.309126073816469e-14,5.016082228937128e-05
2.405155402398228e-14,4.733615324232709e-05
2.502779870790907e-14,4.459958561746489e-05
2.603530839775706e-14,4.202825758161381e-05
2.709248728048819e-14,3.970803123430039e-05
2.822571257599297e-14,3.774065300822658e-05
2.948270261195461e-14,3.625831230525112e-05
3.097900415746407e-14,3.548168237174286e-05
3.313447051776992e-14,3.608392572434446e-05
3.494786209286375e-14,3.787801457437196e-05
3.634622122813755e-14,3.984587863128644e-05
3.762412962452697e-14,4.190497877358277e-05
3.882519799427147e-14,4.391762179963431e-05
4.000148720757205e-14,4.583424945840077e-05
4.120243762198051e-14,4.76223096599648e-05
4.245955816877571e-14,4.921077850539149e-05
4.381436984764727e-14,5.051259665892497e-05
4.534039878377499e-14,5.14080946675328e-05
4.723843410916448e-14,5.167822689124943e-05
4.906696749898454e-14,5.115124728681665e-05
5.105483278857835e-14,4.991748425448299e-05
5.271323001550333e-14,4.855324144240215e-05
5.421967110090902e-14,4.721061016627299e-05
5.568841047620304e-14,4.594278993611427e-05
5.716218395160913e-14,4.482439283124183e-05
5.87127456581945e-14,4.390765224795953e-05
6.042532382144097e-14,4.327463542745786e-05
6.247987231183531e-14,4.306328839192607e-05
6.483818722684407e-14,4.346594932633216e-05
6.736742886736233e-14,4.442742748171632e-05
6.938109929664708e-14,4.539230747083109e-05
7.123080585940927e-14,4.627847221723152e-05
7.305883787893256e-14,4.703109022814785e-05
7.494702590774097e-14,4.75882901526584e-05
7.705968056611244e-14,4.78889273733188e-05
7.975939688871671e-14,4.77953096099512e-05
8.204045031469909e-14,4.738371083322837e-05
8.470113177602663e-14,4.669674901019214e-05
8.70667436318431e-14,4.605483165447217e-05
8.931866335404785e-14,4.553850774374159e-05
9.168057519242216e-14,4.518429148217745e-05
9.436102481293953e-14,4.505382285196654e-05
